Gurus,Symbol,Date,Action,Comment,Shares,Price
Joel+Greenblatt,CSRA,2017-09-30,Reduce,Reduce -26.70%,260148,27.62
Joel+Greenblatt,CSCO,2017-09-30,Reduce,Reduce -26.10%,1479485,35.9
Joel+Greenblatt,CRUS,2017-09-30, Sold Out ,Sold Out,0,55.77
Joel+Greenblatt,CRAY,2017-09-30, Sold Out ,Sold Out,0,20.75
Joel+Greenblatt,COMM,2017-09-30,Reduce,Reduce -84.88%,53865,33.92
Joel+Greenblatt,CCMP,2017-09-30,Reduce,Reduce -28.44%,33144,98.42
Joel+Greenblatt,CACI,2017-09-30,Reduce,Reduce -22.98%,64950,125.2
Joel+Greenblatt,BRKS,2017-09-30,Reduce,Reduce -82.46%,10200,27.46
Joel+Greenblatt,BNFT,2017-09-30, Sold Out ,Sold Out,0,26.55
Joel+Greenblatt,BHE,2017-09-30,Reduce,Reduce -29.55%,227772,30.5
Joel+Greenblatt,AZPN,2017-09-30,Reduce,Reduce -34.24%,140774,67.29
Joel+Greenblatt,AXTI,2017-09-30, Sold Out ,Sold Out,0,9.3
Joel+Greenblatt,AVID,2017-09-30, Sold Out ,Sold Out,0,5.92
Joel+Greenblatt,AVGO,2017-09-30,Reduce,Reduce -29.57%,2582,271.86
Joel+Greenblatt,ANET,2017-09-30,Reduce,Reduce -79.44%,9115,233.82
Joel+Greenblatt,AMN,2017-09-30,Reduce,Reduce -19.89%,311936,44.3
Joel+Greenblatt,AMKR,2017-09-30, Sold Out ,Sold Out,0,10.89
Joel+Greenblatt,ADP,2017-09-30,Reduce,Reduce -47.08%,148246,111.06
Joel+Greenblatt,ACIW,2017-09-30,Reduce,Reduce -26.73%,89861,22.82
Joel+Greenblatt,AAPL,2017-09-30,Reduce,Reduce -34.96%,272095,170.15
Joel+Greenblatt,AAN,2017-09-30,Reduce,Reduce -47.49%,132342,36.46
John+Paulson,WDAY,2017-09-30, Sold Out ,Sold Out,0,111.68
John+Paulson,TEAM,2017-09-30, Sold Out ,Sold Out,0,52.37
John+Paulson,PANW,2017-09-30, Sold Out ,Sold Out,0,142.72
John+Paulson,NXPI,2017-09-30,Reduce,Reduce -98.96%,12500,115.5
John+Paulson,NEWR,2017-09-30, Sold Out ,Sold Out,0,55.68
John+Paulson,GOOG,2017-09-30, Sold Out ,Sold Out,0,1019.09
John+Paulson,FB,2017-09-30, Sold Out ,Sold Out,0,179.0
John+Paulson,AMZN,2017-09-30, Sold Out ,Sold Out,0,1129.88
John+Paulson,AAPL,2017-09-30, Sold Out ,Sold Out,0,170.15
Prem+Watsa,IBM,2017-09-30,Reduce,Reduce -57.52%,281200,148.97
Seth+Klarman,QCOM,2017-09-30, Sold Out ,Sold Out,0,66.72
Seth+Klarman,IMOS,2017-09-30,Reduce,Reduce -13.15%,3048295,18.37
Seth+Klarman,DVMT,2017-09-30,Reduce,Reduce -46.00%,3052459,81.49
Warren+Buffett,IBM,2017-09-30,Reduce,Reduce -31.54%,37026698,148.97
